,Unnamed: 0,Tombo,Ordem,Subordem,Coorte ou Supercoorte,Superfamília,Familia,País,U.F./Província/Região,Município,Cavidade Carste,Codigo Carste,Projeto Carste,Localidade,Lat. - Long. °,Graus,Minutos,Segundos,Sul/Norte,Graus.1,Minutos.1,Segundos.1,W/O,Latitude,Longitude,Coletor (es),Material Tipo,Observações
0,55.0,150367.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,PA,Paraupebas,N1N8N1-0073 (Astigmata sp.5),,,N1N8,"6 01' 15""S, 50 17' 19""W",6.0,1.0,15.0,S,50.0,17.0,19.0,W,-6.020833333,-50.28861111,Carste et. al. ,,
1,56.0,150368.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,PA,Paraupebas,N1N8N1-0073 (Astigmata sp.5),,,N1N8,"6 01' 15""S, 50 17' 19""W",6.0,1.0,15.0,S,50.0,17.0,19.0,W,-6.020833333,-50.28861111,Carste et. al. ,,
2,67.0,150383.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,PA,Paraupebas,N1N8N1-0171 (Winterschimitidae sp.1),,,N1N8,"6 01' 19""S, 50 18' 05""W",6.0,1.0,19.0,S,50.0,18.0,5.0,W,-6.021944444,-50.30138889,Carste et. al. ,,
3,260.0,150621.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Pedro Leopoldo,HOLC-0085,,,HOLCIM,"44W 00' 49""  , 19S 34' 15"" ",19.0,34.0,15.0,S,44.0,0.0,49.0,W,-19.57083333,-44.01361111,Carste et. al. ,,
4,817.0,151218.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Pedro Leopoldo,HOLC-0042,,,HOLCIM,"44W 00' 50""  , 19S 34' 42"" ",19.0,34.0,42.0,S,44.0,0.0,50.0,W,-19.57833333,-44.01388889,Carste et. al. ,,
5,1147.0,160241.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Luizlândia,,239,Lapa Sem Fim,,"44W 37' 39"" , 16S 08' 56""",16.0,8.0,56.0,S,44.0,37.0,39.0,W,-16.14888889,-44.6275,Carste et. al.,,
6,1152.0,160246.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Luizlândia,,239,Lapa Sem Fim,,"44W 37' 39"" , 16S 08' 56""",16.0,8.0,56.0,S,44.0,37.0,39.0,W,-16.14888889,-44.6275,Carste et. al.,,
7,1604.0,161134.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,"MG
",Conceição do Mato Dentro,SPT-0595,1046,S.Serpentina,,"43W 16' 24"" , 19S 10' 01""",19.0,10.0,1.0,S,43.0,16.0,24.0,W,-19.16694444,-43.27333333,Carste et. al.,,
8,1961.0,170364.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Conceição do Mato Dentro,FSS-0081,1591,Anglo Relevância,,"43W 24' 28""  , 18S 56' 48""",,,,,,,,,-18.947136,-43.408143,Carste et.al,,
9,1963.0,170366.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Conceição do Mato Dentro,CSS-0113,1536,Anglo Relevância,,"43W 24' 43""  , 18S 56' 16""",,,,,,,,,-18.938247,-43.412309,Carste et.al,,
10,1964.0,170367.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Conceição do Mato Dentro,CSS-0113,1536,Anglo Relevância,,"43W 24' 43""  , 18S 56' 16""",,,,,,,,,-18.938247,-43.412309,Carste et.al,,
11,2358.0,170834.0,Sarcoptiformes,Oribatida,Astigmata,Acaroidea,Acaridae,Brasil,MG,Rio Acima,GAND-125,2162,Serra do Gandarela,,"43W 39' 36""  , 20S 02' 51""",,,,,,,,,-20.047973,-43.660369,Carste et.al,,
